query_id,encoder,chunk_set,k,topic,urgency_class,precision_at_k,safe_precision_at_k,unsafe_at_k,safety_gap_at_k
postnatal_09,e5-base,fixed_500,3,postnatal,routine,0.6667,0.0,0.0,0.6667
postnatal_09,e5-base,fixed_500,5,postnatal,routine,0.6,0.0,0.0,0.6
postnatal_10,e5-base,fixed_500,1,postnatal,routine,1.0,0.0,0.0,1.0
postnatal_10,e5-base,fixed_500,3,postnatal,routine,1.0,0.0,0.0,1.0
postnatal_10,e5-base,fixed_500,5,postnatal,routine,1.0,0.0,0.0,1.0
pph_01,e5-base,fixed_800,1,pph,urgent,0.0,0.0,0.0,0.0
pph_01,e5-base,fixed_800,3,pph,urgent,0.0,0.0,0.0,0.0
pph_01,e5-base,fixed_800,5,pph,urgent,0.4,0.0,0.0,0.4
pph_02,e5-base,fixed_800,1,pph,urgent,1.0,0.0,0.0,1.0
pph_02,e5-base,fixed_800,3,pph,urgent,0.3333,0.0,0.0,0.3333
pph_02,e5-base,fixed_800,5,pph,urgent,0.2,0.0,0.0,0.2
pph_03,e5-base,fixed_800,1,pph,urgent,1.0,0.0,0.0,1.0
pph_03,e5-base,fixed_800,3,pph,urgent,0.6667,0.0,0.0,0.6667
pph_03,e5-base,fixed_800,5,pph,urgent,0.8,0.0,0.0,0.8
pph_04,e5-base,fixed_800,1,pph,urgent,0.0,0.0,0.0,0.0
pph_04,e5-base,fixed_800,3,pph,urgent,0.3333,0.0,0.0,0.3333
pph_04,e5-base,fixed_800,5,pph,urgent,0.4,0.0,0.0,0.4
pph_05,e5-base,fixed_800,1,pph,urgent,0.0,0.0,0.0,0.0
pph_05,e5-base,fixed_800,3,pph,urgent,0.0,0.0,0.0,0.0
pph_05,e5-base,fixed_800,5,pph,urgent,0.0,0.0,0.0,0.0
pph_06,e5-base,fixed_800,1,pph,urgent,0.0,0.0,0.0,0.0
pph_06,e5-base,fixed_800,3,pph,urgent,0.0,0.0,0.0,0.0
pph_06,e5-base,fixed_800,5,pph,urgent,0.2,0.0,0.0,0.2
pph_07,e5-base,fixed_800,1,pph,urgent,1.0,0.0,0.0,1.0
pph_07,e5-base,fixed_800,3,pph,urgent,0.3333,0.0,0.0,0.3333
pph_07,e5-base,fixed_800,5,pph,urgent,0.4,0.0,0.0,0.4
pph_08,e5-base,fixed_800,1,pph,urgent,0.0,0.0,0.0,0.0
pph_08,e5-base,fixed_800,3,pph,urgent,0.0,0.0,0.0,0.0
pph_08,e5-base,fixed_800,5,pph,urgent,0.0,0.0,0.0,0.0
pph_09,e5-base,fixed_800,1,pph,routine,1.0,0.0,0.0,1.0
pph_09,e5-base,fixed_800,3,pph,routine,0.6667,0.0,0.0,0.6667
pph_09,e5-base,fixed_800,5,pph,routine,0.6,0.0,0.0,0.6
